Date,Average
2022-04-20,13552.335
2022-04-19,13462.595
2022-04-18,13318.15
2022-04-14,13504.075
2022-04-13,13516.545
2022-04-12,13501.845
2022-04-11,13493.235
2022-04-08,13779.875
2022-04-07,13833.74
2022-04-06,13910.87
2022-04-05,14334.705
2022-04-04,14410.415
2022-04-01,14219.375
2022-03-31,14337.23
2022-03-30,14496.35
2022-03-29,14533.15
2022-03-28,14228.67
2022-03-25,14114.775
2022-03-24,14045.375
2022-03-23,14036.895
2022-03-22,13999.18
2022-03-21,13814.175
2022-03-18,13713.67
2022-03-17,13468.97
2022-03-16,13216.16
2022-03-15,12795.235
2022-03-14,12736.68
2022-03-11,13034.86
2022-03-10,13054.89
2022-03-09,13170.475
2022-03-08,12914.76
2022-03-07,13090.65
2022-03-04,13355.845
2022-03-03,13655.115
2022-03-02,13645.225
2022-03-01,13609.18
2022-02-28,13680.27
2022-02-25,13527.575
2022-02-24,13036.995
2022-02-23,13282.975
2022-02-22,13434.185
2022-02-18,13613.98
2022-02-17,13862.76
2022-02-16,14047.86
2022-02-15,14059.39
2022-02-14,13793.235
2022-02-11,13989.93
2022-02-10,14313.88
2022-02-09,14410.795
2022-02-08,14080.63
2022-02-07,14105.205
2022-02-04,14036.575
2022-02-03,14029.81
2022-02-02,14384.735
2022-02-01,14214.73
2022-01-31,14005.305
2022-01-28,13504.235
2022-01-27,13544.285
2022-01-26,13697.42
2022-01-25,13597.88
2022-01-24,13485.63
2022-01-21,13967.98
2022-01-20,14391.405
2022-01-19,14495.27
2022-01-18,14611.74
2022-01-14,14793.555
2022-01-13,15020.975
2022-01-12,15218.16
2022-01-11,14998.17
2022-01-10,14742.04
2022-01-07,15024.325
2022-01-06,15056.66
2022-01-05,15340.74
2022-01-04,15682.275
2022-01-03,15738.445
2021-12-31,15710.68
2021-12-30,15798.625
2021-12-29,15750.83
2021-12-28,15829.27
2021-12-27,15784.115
2021-12-23,15613.445
2021-12-22,15414.515
2021-12-21,15182.045
2021-12-20,14933.67
2021-12-17,15124.575
2021-12-16,15376.34
2021-12-15,15315.495
2021-12-14,15207.45
2021-12-13,15522.655
2021-12-10,15577.725
2021-12-09,15653.585
2021-12-08,15705.76
2021-12-07,15613.875
2021-12-06,15106.8
2021-12-03,15200.71
2021-12-02,15297.33
2021-12-01,15530.375
2021-11-30,15639.795
2021-11-29,15738.86
2021-11-26,15593.815
2021-11-24,15719.96
2021-11-23,15748.66
2021-11-22,16031.635
2021-11-19,16069.175
2021-11-18,15929.855
2021-11-17,15953.98
2021-11-16,15907.305
2021-11-15,15848.38
2021-11-12,15789.975
