Date,BNB_price,BNB_market_cap,BNB_total_volume,XRP_price,XRP_market_cap,XRP_Total_volume,LTC_price,LTC_market_cap,LTC_total_volume,ETH_price,ETH_market_cap,ETH_total_volume,BTC_price,BTC_market_cap,BTC_total_volume,NASDAQ_Comp_Price
2022-02-15,403.5772092,67927392996,494813179,0.803348375,38448661596,3147538928,124.8331548,8693486479,563405437.5,2935.6455,3.51369E+11,12117644856,42634.57378,8.08281E+11,18090873763,14139.76
2022-02-16,433.4728145,72921371863,2097197142,0.85247911,40834438280,3043829789,131.6880081,9214944628,680554080,3179.300207,3.81791E+11,14189484930,44574.32057,8.48321E+11,19801081789,14124.09
2022-02-17,428.8180876,72209779015,1325457433,0.839180751,40187017226,2930845330,128.3774907,8942062959,620462660.8,3128.640781,3.76072E+11,13120593628,44063.28198,8.36256E+11,16847003857,13716.72
2022-02-18,402.6685525,67768130125,1129722978,0.768509451,36963479625,3303770868,116.2120026,8096862167,771632269.1,2881.613122,3.45253E+11,16242836366,40562.98695,7.70097E+11,22270664615,13548.07
2022-02-22,356.9563767,60272497691,1618738859,0.705539342,33972778767,4439011971,103.5897784,7244478419,783358953.3,2574.513384,3.08837E+11,19206327576,37059.9794,7.03004E+11,25174914104,13381.52
2022-02-23,374.4295685,62997037014,1611578893,0.725937627,34808187364,4599434726,107.5670389,7497251392,737608295.1,2644.153656,3.17005E+11,16856627508,38337.20386,7.27094E+11,22212181617,13037.49
2022-02-24,367.5251688,61823423821,1287048727,0.701695728,33701843282,3840839044,105.9688478,7386564710,591005149.8,2594.700959,3.10998E+11,13713218953,37372.29268,7.08829E+11,18507851468,13473.58
2022-02-25,361.3380735,60666123712,2319428614,0.697687107,33453595245,5932775744,104.2418976,7266951117,1378724541,2599.93357,3.11534E+11,30992409366,38363.34549,7.27658E+11,40839699481,13694.62
2022-02-28,361.294866,60867607020,1258267471,0.721098576,34581739036,3731215035,103.1121176,7184428503,571319765.9,2629.483121,3.14566E+11,17309819255,37803.59016,7.1762E+11,19424397946,13751.4
2022-03-01,395.8121028,66424867796,1540189378,0.7828559,37500615317,4355925146,113.474254,7901458520,786158082.3,2919.294962,3.49056E+11,19832961026,43225.40468,8.19019E+11,30634280855,13532.46
2022-03-02,409.3528497,68682205857,2509007293,0.787274428,37744545802,3831187528,112.6837679,7843103594,781094085.6,2977.27604,3.55856E+11,19012291817,44459.59163,8.41254E+11,27880763034,13752.02
2022-03-03,409.2816692,68815406700,1535399360,0.768213561,36857824864,3145198652,110.3622381,7698431946,675253898.3,2953.315776,3.53807E+11,17023997911,43980.70738,8.34438E+11,25615956856,13537.94
2022-03-04,402.9775841,67836012887,876430177.8,0.753164758,36230318096,3246276258,111.3917414,7767816408,896691497.1,2836.906337,3.40585E+11,13786702924,42491.97839,8.07455E+11,22366184129,13313.44
2022-03-07,375.2821061,63077523634,1181871870,0.726824182,34850697038,3212597508,101.315268,7070358998,581423472,2558.359874,3.06675E+11,9377488375,38442.99175,7.29502E+11,16995562041,12830.96
2022-03-08,381.5198575,63911307485,1813986133,0.724152083,34699488211,4149973567,98.69385859,6886635383,751674495.3,2498.658865,2.99835E+11,15295190069,38076.49382,7.23199E+11,24596395439,12795.55
2022-03-09,381.7436226,64220105350,1436515784,0.720653155,34608063706,3407151330,100.4470168,7009788527,717444049.6,2576.627154,3.09292E+11,14681251926,38732.93701,7.35454E+11,22556397749,13255.55
2022-03-10,393.611787,66202668578,1804524853,0.768086672,36825355524,3989146225,106.6503388,7451005933,814806150.7,2731.037685,3.27144E+11,15208159163,41986.03445,7.9685E+11,29211702119,13129.96
2022-03-11,371.9682546,62505187316,1594885257,0.737800031,35355341439,3914195839,102.6219963,7151223943,855599088.3,2611.464723,3.13054E+11,13843643777,39468.35477,7.49384E+11,27653455219,12843.81
2022-03-14,362.3421368,60866119883,376150073.6,0.76193735,36608123216,3630836812,101.8853822,7115356269,398639403.8,2518.492845,3.02104E+11,8570037701,37852.52514,7.18551E+11,14461647576,12581.22
2022-03-15,372.9835915,62671877529,1212240585,0.775148598,37138477846,3789866665,105.6180595,7366162430,563293023.8,2591.542041,3.10467E+11,10951215811,39669.42381,7.51354E+11,21250969229,12948.62
2022-03-16,371.5510665,62545699438,1137029115,0.766483766,36906247284,3438081456,106.9945308,7487422511,586359737.6,2620.363852,3.14931E+11,12439580088,39331.84654,7.47642E+11,20768829818,13436.55
2022-03-17,385.6519464,64769916794,1510185427,0.794380151,37530785877,4063597298,111.374996,7629784997,790360725.5,2771.759457,3.33205E+11,19785262485,41165.63506,7.79761E+11,34974203469,13614.78
2022-03-18,392.3762081,65846032214,1283779184,0.793821885,38199986362,3505833299,110.2940288,7701640004,502735777.8,2817.401075,3.38097E+11,12593189075,41001.70958,7.78474E+11,18861644943,13893.84
2022-03-21,390.7339362,65740764174,1089593268,0.806489438,38867169621,2799660155,114.7736774,8026900494,688857146,2860.641961,3.43171E+11,11304953073,41283.259,7.84054E+11,16856192302,13838.46
